candidate,sentiment,sentiment_confidence,subject_matter,retweet_count,text
Donald Trump,Negative,0.6941,None of the above,4,"RT @zzcrane: Me watching the Donald Trump bandwagon pass. 
#tlot #tcot #GOPDebate http://t.co/wvQlSxgmCL"
No candidate mentioned,Negative,0.6705,FOX News or Moderators,1000,"RT @deray: Before the #GOPDebate began, didn't the moderators say that 8 million ppl were discussing ""racial issues""? What happened to thos…"
No candidate mentioned,Negative,1,Abortion,1773,"RT @feministabulous: There's nothing like listening to ten dudes who will never need an abortion, talk about whether I should have a right …"
No candidate mentioned,Negative,1,FOX News or Moderators,14,RT @SenWhitehouse: FOX silenced by Koch billions too? Not a single question at last night's #GOPDebate to #climatechange deniers about Mond…
No candidate mentioned,Negative,0.6667,Jobs and Economy,38,"RT @tyriquex: These republicans are rich, they don't care about the poverty of America &amp; they definitely don't care bout the poverty of bla…"
No candidate mentioned,Negative,0.3438,None of the above,0,Catching up on my #GOPDebate @LindseyGrahamSC what a childish &amp; cheap move to call out @billclinton &amp; @HillaryClinton on a 17 year old story
Ted Cruz,Negative,1,None of the above,10,RT @kesgardner: All Ted Cruz does is attack other Republicans. #GOPDebate
No candidate mentioned,Negative,0.6774,Foreign Policy,176,"RT @GovernorPerry: ICYMI: Not just no, but ""hell no"" to the #IranDeal! #GOPDebate #Perry2016 #tcot https://t.co/KqhJdJCGWS"
Donald Trump,Negative,1,None of the above,64,"RT @larhunter: If Donald Trump wins the election, then we'll know we're on the Biff-stole-the-almanac timeline. #GOPDebate"
Chris Christie,Negative,0.6702,Jobs and Economy,56,RT @cenkuygur: Chris Christie just said you have to work two more years before retiring.And that you'll get tens of thousands less you paid…
John Kasich,Positive,0.663,None of the above,31,"RT @JohnKasich: John Kasich is ready to lead. Join the team, Claire!: http://t.co/dy8KnZ122T 

#GOPDebate https://t.co/KnWmIDeqtY"
No candidate mentioned,Negative,1,FOX News or Moderators,177,RT @edwrather: The biggest losers in the debate were the Fox moderators who attacked instead of moderating #GOPDebate
Donald Trump,Negative,1,None of the above,22,"RT @WhitneyNeal: Trump has yet to give a single, evidence-based answer to a direct question about policy. That should frighten you. #GOPDeb…"
No candidate mentioned,Negative,0.6778,Women's Issues (not abortion though),11,RT @Blkfeminst: I honestly think sometimes these guys forgot they came from wombs too. #KKKorGOP #GOPDebate  https://t.co/FO3a6DXflf
No candidate mentioned,Negative,1,Abortion,8,"RT @GrnEyedMandy: Women who shame other women for having abortions deserve to be shamed for having no soul or self respect. 

#PlannedParen…"
Donald Trump,Negative,0.3409,None of the above,8,"RT @IcarusPundit: Donald Trump’s closing statement is every dinner conversation had at The Villages, ever. #GOPDebate"
No candidate mentioned,Negative,1,Foreign Policy,9,"RT @TheXclass: ""When the rich wage war it's the poor who die."" Jean-Paul Sartre 
This is now GOP foreign policy. 
#GOPDebate"
No candidate mentioned,Negative,0.6889,Racial issues,0,"At the #GOPDebate, we saw the candidates completely miss the mark on race &amp; #BlackLivesMatter
http://t.co/K9nhdpUE32 http://t.co/hlcqpXJzru"
No candidate mentioned,Negative,1,Jobs and Economy,1,RT @SeaBassThePhish: S/O to the GOP for being proud of defeating teachers union even though they just wanted higher wages #GOPDebate
No candidate mentioned,Negative,0.6277,FOX News or Moderators,0,@ChuckNellis @FoxNews You got that right! #GOPDebate
Donald Trump,Negative,1,None of the above,12,"RT @mrskimcam: Trump just said the U.S. is stupid, so let's vote him President. WTF people. #GOPDebate"
John Kasich,Positive,1,None of the above,0,So excited for @johnkasich #GOPDebate #Kasich4Us #Republicandebate #kasich2016 been waiting for 20 years!!
Donald Trump,Negative,1,None of the above,0,Hey look it's my feelings about Donald Trump summed up in one gif #GOPDebate http://t.co/zjWUGwj9Hz
Marco Rubio,Negative,0.6341,Immigration,9,RT @TheBaxterBean: Marco Rubio Briefly Backed Immigration Reform Then Privately Berated DREAMers http://t.co/We77QdT3Kt #GOPDebate http://t…
No candidate mentioned,Negative,0.6418,None of the above,483,RT @DamienFahey: “I french-kissed Jesus Christ!” - Every candidate #GOPDebate
Mike Huckabee,Negative,0.6744,None of the above,0,#GOPDebate #Closingstatements @GovMikeHuckabee just be honest. u were defs talking about @realDonaldTrump coz he's stealing ur schtick
No candidate mentioned,Negative,1,FOX News or Moderators,0,"When cnn, msnbc ,and the new York times praise fox moderators then you know the moderators fucked up. #GOPDebate"
Donald Trump,Negative,1,None of the above,11,RT @kesgardner: Trump is a lunatic. #GOPDebate
Ted Cruz,Positive,1,None of the above,6,"Cruz has class &amp; truth, that gets my vote! #GOPDebate"
Donald Trump,Negative,0.6146,Immigration,14,"RT @kesgardner: AssClown: I'm the only reason anyone is even talking about illegal immigration. Keep digging, Donald! #GOPDebate"
No candidate mentioned,Positive,0.6395,None of the above,4270,RT @BernieSanders: Tom Hanks. Finally. Somebody who makes some sense. #GOPDebate #DebateWithBernie
No candidate mentioned,Negative,0.7091,None of the above,102,RT @SouthernHomo: Olivia Pope would not vote for any of these guys #GOPDebate
Mike Huckabee,Negative,0.6738,Jobs and Economy,0,All #GOP candidates want to reduce taxes while #Huckabee wants to legalize prostitution and drugs so we can tax it. #GOPDebate
Donald Trump,Negative,1,FOX News or Moderators,67,"RT @kesgardner: Hi Fox panel, can you just ask Donald every single question? Hand him a shovel while you're at it so he can keep digging. #…"
Donald Trump,Positive,0.6495,None of the above,0,#GOPDebate #Trump is Breaking Records! So what he's not a polished Politician. Makes me love him even more.  https://t.co/TgOwCHxf3x
No candidate mentioned,Negative,0.6701,None of the above,3385,RT @BernieSanders: Oh. It was just a movie trailer. #GOPDebate #DebateWithBernie
No candidate mentioned,Negative,0.3516,FOX News or Moderators,135,RT @TacticalDissent: So Sally Kohn &amp; Debbie Wasserman Schultz both  praising Megyn Kelly tonight. That should tell you everything you need …
Donald Trump,Negative,1,Women's Issues (not abortion though),0,Why are all the Trump accessory women wearing the same shoes?!  #GOPDebate http://t.co/Xz4zc1Lt8N
Donald Trump,Negative,1,None of the above,0,And Donald Trump is an absolute nut! So entertaining LOL #GOPDebate
No candidate mentioned,Negative,0.6703,FOX News or Moderators,0,"""@thehill: Top GOP pundits pick their #GOPdebate winners: http://t.co/QPvJu6p7sz http://t.co/JCDu5qzjnj""
Winners...Fox News
Losers...USA"
No candidate mentioned,Negative,1,None of the above,6,RT @DykstraDame: Candidates went after @HillaryClinton 32 times in the #GOPdebate-but remained silent about the issues that affect us. http…
Donald Trump,Negative,0.7039,FOX News or Moderators,231,RT @DanScavino: .@MegynKelly trying 2show up @realDonaldTrump w @FoxNews. Trying 2take him down. Trying 2destroy him. Not happening. #Kelly…
Ben Carson,Negative,0.3678,None of the above,0,RT @gov: Most-Tweeted #GOPDebate moment for @RealBenCarson: saying he wouldn't publicize to the world his answer on waterboarding.
Donald Trump,Negative,1,None of the above,0,I give him a e for his big ego. #GOPDebate A's are earned for excellence. Rhymes with rump.
No candidate mentioned,Positive,0.6552,Religion,0,Passion of the #GOPDebate #ReligiousUpaMovie
Marco Rubio,Positive,0.6629,FOX News or Moderators,28,"RT @NRO: ""@marcorubio got the best reviews, and deserved them."" Read more of our #NREditorial recap of the #GOPDebate ---&gt; http://t.co/sTzw…"
No candidate mentioned,Positive,0.6819,None of the above,5,RT @kesgardner: Brutal question to the AssClown from Megan Kelly. The lesson here: be careful what you tweet on Twitter! #GOPDebate
Donald Trump,Negative,1,Abortion,0,Trump changed his mind on supporting PARTIAL BIRTH ABORTION because a friend changed their mind on aborting &amp; had a great kid. #GOPDebate
Ben Carson,Positive,1,None of the above,0,Best closing statement: @RealBenCarson #GOPDebate
Chris Christie,Positive,0.7021,None of the above,96,"RT @ChrisChristie: We have to stop worrying about being loved &amp; start worrying about being respected. #TellingItLikeItIs #GOPDebate
https:/…"
Donald Trump,Negative,0.6353,,2,"RT @lesleyabravanel: Trump sycophants want to know what @megynkelly's ""hidden agenda"" was last night. Answer is simple: it's called a vagin…"
Donald Trump,Negative,0.6264,,0,Donald Trump is a really nasty piece of work. Hope he disappears quickly. #GOPDebate
No candidate mentioned,Negative,1,Abortion,608,RT @amaraconda: FETUSES ARE NOT UNBORN BABIES THEY ARE CLUSTERS OF CELLS STOP SHAMING PEOPLE WHO WANT/HAVE HAD ABORTIONS #GOPDebate
No candidate mentioned,Positive,0.6774,None of the above,3,RT @mattkbh: These were far and away the best tweets of last night #DebateWithBernie #GOPDebate http://t.co/GzdLtYuMNn
Mike Huckabee,Negative,1,Jobs and Economy,959,"RT @pattonoswalt: Despite what Huckabee says, I always make sure my prostitute AND her pimp pay FICA and pension. #GOPDebate"
No candidate mentioned,Positive,0.6629,FOX News or Moderators,0,@FoxNews did great by challenging the candidates in #GOPDebate. If these candidates can't handle a tough question they could never b #POTUS
No candidate mentioned,Negative,1,FOX News or Moderators,56,RT @k_mcq: I’d say it was the opposite. Megan Kelly acted like some SJW on Tumblr whining about feminism. Very sad. #GOPDebate  https://t.c…
No candidate mentioned,Positive,0.3412,None of the above,1,RT @Conssista: Rightly so Frank. Rightly so. #GOPDebate  https://t.co/32CFasI17d
No candidate mentioned,Negative,1,None of the above,0,the number of times that ronald reagan is mentioned in the #GOPDebate is TOO DAMN HIGH
Donald Trump,Negative,1,None of the above,1216,"RT @pattonoswalt: If Trump is against ""p.c. culture,"" I'm suddenly 100% for it. Not even kidding. What a howling shit-cave of a human. #GOP…"
Ben Carson,Positive,1,Racial issues,96,RT @carljacksonshow: #BenCarson great close! He operates on brains so he doesn't worry about skin color. #GOPDebate
Donald Trump,Negative,0.6538,Women's Issues (not abortion though),25,"RT @Davante_R: Women that would be offended by Trumps ""Misogyny"" most certainly don't vote Republican.

Find a new fake issue Faux News.

#…"
No candidate mentioned,Negative,1,Religion,1,RT @Auntcol54: Keep religion out of politics! #GOPDebate
No candidate mentioned,Negative,0.3298,None of the above,571,"RT @wilw: Boy, I bet the mood in the clown car is going to be TENSE when these jerks leave the #GOPDebate."
Ben Carson,Positive,1,None of the above,2,RT @CampeauElliot: Dr. Ben Carson did a great job tonight! Loved your closing statement! @RealBenCarson #GOPDebate
No candidate mentioned,Negative,1,FOX News or Moderators,0,“@foxnewspolitics: Behind the Fox debate: How the anchors hashed out the questions #GOPDebate They Failed
No candidate mentioned,Negative,1,None of the above,0,Did anyone get trashed playing @RollingStone's #GOPDebate drinking game?   #drinkinggame
Donald Trump,Negative,1,None of the above,0,"If #DonaldTrump donates to U..He can call in a favor years later?? Sounds like #TheGodfather
NOT #POTUS Thats legal?
#GOPDebate #GOPClownCar"
No candidate mentioned,Negative,1,None of the above,1,RT @jediane9: Ugh to think there were actually people sitting on their couch last night saying YES YES THIS IS REASONABLE. #GOPDebate
Donald Trump,Negative,1,None of the above,8,"RT @kesgardner: If politics can be even partially rational, Trump's campaign for the GOP nomination just ended. #GOPDebate"
Scott Walker,Negative,1,Abortion,19,RT @ChrisJZullo: Scott Walker chooses killing mother rather than aborting unborn embryo. This is reason other countries give us that funny …
No candidate mentioned,Negative,0.6425,Abortion,0,Can't #UniteBlue: Abortion is a talking point in the #GOPDebate since #PPSellsBabyParts
No candidate mentioned,Negative,0.6374,Immigration,36,RT @k_mcq: Closing statements reminisce about an America that no longer exists after Ted Kennedy’s 1965 Immigration and Nationality Act. #G…
Ted Cruz,Negative,1,None of the above,224,RT @maureenjohnson: Ted Cruz is going to personally take away your telescope and try you as a witch. #GOPDebate
Donald Trump,Positive,0.6264,None of the above,0,@realDonaldTrump You killed it last night at the #GOPDebate glad to have some that cares for America  #MakeAmericaGreatAgain
No candidate mentioned,Positive,1,None of the above,50,RT @YoungBLKRepub: When the #GOPDebate is more exciting than anything else on tv in the past 10 years....
No candidate mentioned,Positive,0.3547,None of the above,509,"RT @abbijacobson: Shiiiittt, it's tough to say who is making me more horny. #GOPDebate"
No candidate mentioned,Positive,0.6667,FOX News or Moderators,0,"@bullriders1 @Olivianuzzi @daveweigel The #GOPDebate was better than I thought it'd be, though candidates finessed issues with sound bytes."
Marco Rubio,Negative,0.6958,Foreign Policy,12,RT @TheBaxterBean: Yes Marco Rubio Actually Said The Iraq Invasion 'Was Not A Mistake' http://t.co/xRowKHyMm1 #GOPDebate http://t.co/vjMjdM…
Marco Rubio,Negative,0.675,None of the above,19,RT @TheBaxterBean: Marco Rubio Voted Against Unemployment Benefits Even Though Florida Needs Them Most http://t.co/2i6UolSctj #GOPDebate ht…
Jeb Bush,Positive,1,None of the above,0,#JebBush was so thoughtful in #GOPdebate - #reThink911 http://t.co/k37hnbe2jy
Jeb Bush,Negative,0.6277,,36,"RT @TheJimHughes: There will be a lot of jobs available if Bush serves 2 terms, because most Conservatives will have committed suicide. #GO…"
No candidate mentioned,Positive,1,FOX News or Moderators,0,"Huh. Watching @FoxNews debate #1 and so far, the moderators and the participants are better! #GOPDebate"
Donald Trump,Negative,0.6477,,9,RT @3ChicsPolitico: Donald Trump insulted @megynkelly and ALL women and not one man on stage confronted him. None of them are worthy to be …
Donald Trump,Negative,0.6264,,72,"RT @jjauthor: @learjetter, I was waiting for @megynkelly to ask @realDonaldTrump, ""When did you stop beating your wife?"" #GOPDebate http://…"
No candidate mentioned,Negative,0.6407,None of the above,14,RT @AndreaTantaros: About last night. Are you watching @OutnumberedFNC ? We got @ericbolling and all the good stuff from the #GOPDebate on …
No candidate mentioned,Negative,0.6706,FOX News or Moderators,21,"RT @renomarky: EARTH TO @megynkelly THIS AINT ABOUT YOU! 

#GOPDebate 
#FoxDebate 
#MegynKelly 
#MegynKellyDebateQuestions http://t.co/yxHy…"
No candidate mentioned,Negative,0.6843,None of the above,0,"#FFF: Highlights from this week include #NationalUnderwearDay, the #GOPDebate, and #JonVoyage. Officially. The. Worst. Week. Ever.
#TGIF"
